execucao;data_hora;classificacao;temp_interna;temp_externa;integridade;pressao_psi;energia_pct;modulos_online;capacidade_kwh;disponivel_kwh;perdida_kwh;util_kwh;consumo_kwh;restante_kwh;autonomia_pct;qtd_criticos;qtd_alertas;decolagem
1;2026-09-16 21:53:02;HORRIVEL;10.0;50.0;0;350.0;70.0;SIM;1000.0;700.0;56.0;644.0;300.0;344.0;34.4;0;1;ABORTADA
2;2026-09-16 21:53:02;MEDIO;25.0;30.0;1;550.0;80.0;SIM;1000.0;800.0;64.0;736.0;300.0;436.0;43.6;0;2;AUTORIZADA
3;2026-09-16 21:53:02;OTIMO;25.0;30.0;1;480.0;100.0;SIM;1000.0;1000.0;80.0;920.0;300.0;620.0;62.0;0;0;AUTORIZADA
4;2026-09-16 21:53:02;OTIMO;23.0;20.0;1;495.0;92.0;SIM;1000.0;920.0;73.6;846.4;300.0;546.4;54.6;0;0;AUTORIZADA
5;2026-09-16 21:53:02;MEDIO;21.0;-9.0;1;500.0;85.0;SIM;1000.0;850.0;68.0;782.0;300.0;482.0;48.2;0;1;AUTORIZADA
6;2026-09-16 21:53:02;MEDIO;29.0;-8.0;1;535.0;93.0;SIM;1000.0;930.0;74.4;855.6;300.0;555.6;55.6;0;3;AUTORIZADA
7;2026-09-16 21:53:02;OTIMO;22.0;25.0;1;500.0;90.0;SIM;1000.0;900.0;72.0;828.0;300.0;528.0;52.8;0;0;AUTORIZADA
8;2026-09-16 21:53:02;HORRIVEL;22.0;25.0;1;500.0;105.0;SIM;1000.0;1050.0;84.0;966.0;300.0;666.0;66.6;1;0;ABORTADA
9;2026-09-16 21:53:02;OTIMO;20.0;5.0;1;470.0;98.0;SIM;1000.0;980.0;78.4;901.6;300.0;601.6;60.2;0;0;AUTORIZADA
10;2026-09-16 21:53:02;HORRIVEL;24.0;28.0;1;505.0;55.0;SIM;1000.0;550.0;44.0;506.0;300.0;206.0;20.6;0;0;ABORTADA
11;2026-09-16 21:53:02;MEDIO;25.0;30.0;1;450.0;90.0;SIM;1000.0;900.0;72.0;828.0;300.0;528.0;52.8;0;1;AUTORIZADA
12;2026-09-16 21:53:03;MEDIO;20.0;30.0;1;480.0;80.0;SIM;1000.0;800.0;64.0;736.0;300.0;436.0;43.6;0;1;ABORTADA
